"filename", "language", "Python", "Ini", "JSON", "comment", "blank", "total"
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Dist\db.json", "JSON", 0, 0, 642, 0, 0, 642
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Frontend\Actions.py", "Python", 76, 0, 0, 0, 25, 101
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Frontend\Armory\Backpack.py", "Python", 60, 0, 0, 0, 22, 82
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Frontend\Armory\Bazaar.py", "Python", 51, 0, 0, 0, 16, 67
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Frontend\Armory\Closet.py", "Python", 37, 0, 0, 0, 14, 51
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Frontend\Background.py", "Python", 57, 0, 0, 0, 16, 73
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Frontend\Caster.py", "Python", 144, 0, 0, 0, 49, 193
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Frontend\Class.py", "Python", 173, 0, 0, 0, 55, 228
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Frontend\Logger.py", "Python", 9, 0, 0, 0, 2, 11
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Frontend\On_Start.py", "Python", 431, 0, 0, 8, 57, 496
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Frontend\Race.py", "Python", 140, 0, 0, 0, 49, 189
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Frontend\Sheet.py", "Python", 116, 0, 0, 17, 33, 166
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Frontend\Utils\Importer.py", "Python", 10, 0, 0, 0, 0, 10
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handbook\Grimoir.py", "Python", 6607, 0, 0, 0, 4, 6611
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handbook\Rules.py", "Python", 97, 0, 0, 0, 18, 115
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handler\Cataloges\Background_Catalog.py", "Python", 1, 0, 0, 0, 1, 2
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handler\Cataloges\Caster_Catalog.py", "Python", 8, 0, 0, 0, 2, 10
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handler\Cataloges\Class_Catalog.py", "Python", 12, 0, 0, 0, 1, 13
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handler\Cataloges\Race_Catalog.py", "Python", 22, 0, 0, 0, 1, 23
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handler\Data_Files\Data_Background\Backgrounds.py", "Python", 134, 0, 0, 0, 16, 150
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handler\Data_Files\Data_Caster\Empty.py", "Python", 9, 0, 0, 0, 4, 13
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handler\Data_Files\Data_Caster\Fighter.py", "Python", 39, 0, 0, 0, 7, 46
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handler\Data_Files\Data_Caster\Wizard.py", "Python", 39, 0, 0, 0, 7, 46
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handler\Data_Files\Data_Class\Barbarian.py", "Python", 245, 0, 0, 0, 44, 289
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handler\Data_Files\Data_Class\Empty.py", "Python", 12, 0, 0, 0, 3, 15
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handler\Data_Files\Data_Class\Fighter.py", "Python", 229, 0, 0, 0, 51, 280
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handler\Data_Files\Data_Class\Monk.py", "Python", 221, 0, 0, 0, 27, 248
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handler\Data_Files\Data_Class\Wizard.py", "Python", 190, 0, 0, 0, 55, 245
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handler\Data_Files\Data_Race\Dragonborn.py", "Python", 125, 0, 0, 0, 15, 140
