"filename", "language", "Python", "JSON", "comment", "blank", "total"
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Dist\db.json", "JSON", 0, -79, 0, 0, -79
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Frontend\Caster.py", "Python", 144, 0, 0, 49, 193
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Frontend\Class.py", "Python", 0, 0, 0, 2, 2
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Frontend\Race.py", "Python", 140, 0, 0, 49, 189
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Frontend\Utils\Importer.py", "Python", 2, 0, 0, 0, 2
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handbook\data_files\Races.py", "Python", -362, 0, 0, -64, -426
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handbook\data_files\Races_Reference.py", "Python", 362, 0, 0, 64, 426
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handler\bCaster.py", "Python", 141, 0, 0, 26, 167
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Handler\bRace.py", "Python", 570, 0, 3, 176, 749
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Manager\Database.py", "Python", 71, 0, -1, 20, 90
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Manager\Database_Manager.py", "Python", 51, 0, -39, 6, 18
"c:\Users\gaiam\Documents\VERSION WE ARE USING\VERSION_3\Utils\UI\f_Utility.py", "Python", 3, 0, 0, -2, 1
"Total", "-", 1122, -79, -37, 326, 1332
